,date,county,state_name,fips,cases,deaths,county_code,state,locality,locality_original,SD,LD,NESC,PC,GS,CPV
736,2020-03-24,New York City,New York,,14905,192,-1,NY,new york city,new_york_city,1,0,1,1,2,2
737,2020-03-25,New York City,New York,,20011,280,-1,NY,new york city,new_york_city,1,0,1,1,2,2
738,2020-03-26,New York City,New York,,23112,365,-1,NY,new york city,new_york_city,1,0,1,1,2,2
739,2020-03-27,New York City,New York,,25399,450,-1,NY,new york city,new_york_city,1,0,1,1,2,2
740,2020-03-06,Rockland,New York,36087.0,2,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
741,2020-03-07,Rockland,New York,36087.0,2,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
742,2020-03-08,Rockland,New York,36087.0,2,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
743,2020-03-09,Rockland,New York,36087.0,4,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
744,2020-03-10,Rockland,New York,36087.0,6,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
745,2020-03-11,Rockland,New York,36087.0,6,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
746,2020-03-12,Rockland,New York,36087.0,7,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
747,2020-03-13,Rockland,New York,36087.0,9,0,87,NY,rockland county,rockland_county,0,0,0,0,0,0
748,2020-03-14,Rockland,New York,36087.0,12,1,87,NY,rockland county,rockland_county,0,0,0,0,0,0
749,2020-03-15,Rockland,New York,36087.0,13,1,87,NY,rockland county,rockland_county,0,0,0,0,0,0
750,2020-03-16,Rockland,New York,36087.0,16,1,87,NY,rockland county,rockland_county,0,0,0,1,0,0
751,2020-03-17,Rockland,New York,36087.0,22,2,87,NY,rockland county,rockland_county,0,0,0,1,0,0
752,2020-03-18,Rockland,New York,36087.0,30,2,87,NY,rockland county,rockland_county,0,0,0,1,0,0
753,2020-03-19,Rockland,New York,36087.0,53,2,87,NY,rockland county,rockland_county,0,0,0,1,0,0
754,2020-03-20,Rockland,New York,36087.0,101,3,87,NY,rockland county,rockland_county,1,0,1,1,0,0
755,2020-03-21,Rockland,New York,36087.0,262,3,87,NY,rockland county,rockland_county,1,0,1,1,0,0
756,2020-03-22,Rockland,New York,36087.0,455,3,87,NY,rockland county,rockland_county,1,0,1,1,0,0
757,2020-03-23,Rockland,New York,36087.0,592,5,87,NY,rockland county,rockland_county,1,0,1,1,0,0
758,2020-03-24,Rockland,New York,36087.0,671,5,87,NY,rockland county,rockland_county,1,0,1,1,0,0
